,uniqueID,duration,date,drugName,review,rating,upvotes,drug,page
10,Backt...,Taken for 1 to 6 months,"March 9, 2023",Wegovy (semaglutide),"I started Wegovy 6 weeks ago at .25 mg for 4 weeks, and for the last 2 weeks at 1 mg. I started at 211 lbs and am now 197 lbs, so have lost 14 lbs and counting in 6 weeks. Not bad! Symptoms I've experienced include being slightly more tired than usual on the day of the injection, and some constipation at first but I use Miralax if there's an issue and it works fine for me. I haven't had any extreme nausea, but the injection definitely makes me less hungry and there are certain foods that I feel slightly queasy even considering eating--like high-fat foods--so I don't eat them. I eat a lot more fruits and vegetables and get full very quickly. I work out 4-5 days a week, my energy has been good and I feel like I'm getting back to my old self. I'd like to be about 135 lbs eventually. Wegovy has been a lifesaver. I'm 55 years old and had considerable cravings, especially at night. I'm happy to be free of them. I hope to make my new habits permanent.",10.0,129,semaglutide,1
11,Kmac,Taken for 1 to 6 months,"January 10, 2022",Wegovy (semaglutide),"First of all, this does work. I lost over ten pounds in 6 weeks. The weight just fell off. Second of all, this was the worst experience I have ever had with a prescribed medication. Well, I started at the lowest dose and took that for 4 weeks before moving to the next dose which I believe was 0.5 mg. The maintenance dose is 2.4 mg I believe. How anyone makes it to the 2.4 mg is beyond me. I made it to the second dose of 0.5 mg before I threw in the towel. This stuff is WICKED. I spent 6 weeks of my life with an upset stomach, the absolute worst reflux and heartburn I have ever had, and constant nausea. I had to literally force myself to eat. Would not recommend. The side effects and the price is not worth it. Easy to lose weight when you are starving yourself and feel too sick to eat. Once I stopped it took a few days to feel better and the weight came back lightening quick plus a few. Not worth the misery in my opinion.",1.0,391,semaglutide,1
12,Wegovy...,Taken for 1 to 6 months,"February 8, 2022",Wegovy (semaglutide),"I'm in my second week of the 2.4mg dose of Wegovy. A lot of folks who posted mentioned cramps and nausea. I would usually experience this the first day and second day of injections early on but not so much now in the 2.4gm dose. The cure for the nausea that worked best for me was a couple bouillon cubes. Did the trick every time. Ate high protein and low carbs. Increased salads which are a key component of doing well with Wegovy and a low carb/high protein diet. I had gastric bypass in 2011 and lost quite a bit of weight which I kept off for a while, but gained almost all of it back through Covid and began Wegovy in October, 2021. As of today I have lost 67 lbs which is absolutely amazing. I am rehabbing for a knee replacement and this has been the absolute missing piece. This has removed all cravings of food, alcohol and most other things. My dosing day is Tuesday mornings and I can really tell on Monday afternoon/night as I start to get those cravings! Make good choices!",10.0,324,semaglutide,1
13,Goodbye...,Taken for 6 months to 1 year,"May 2, 2022",Wegovy (semaglutide),"I started ozempic last June. I switched to Wegovy in September. My start weight was 216.8 pounds at 5’6”, and I’m a 50 year old, post-menopausal woman. In 9 months, I’m down to 148.2 pounds (-68 lbs; almost 35%), and went from a size 16 to a size 8. Could only take 1.0 due to kidneys not functioning normally when upped to 1.7. I do not have time to work out. I thought it would be hard to give myself a shot, but it’s so easy! Absolutely amazing! Side effects are limited appetite and sleep (especially first couple days after shot), nausea (especially when brushing teeth or smell things), and hair loss (started more around month 6). But no other diet worked after menopause and stress for over 10 years. I love my new body (something I have NEVER said)! Will stay on it forever! Excited for warmer weather and outside activities (and the strength to do things)!",10.0,281,semaglutide,1
14,elish...,,"April 3, 2023",Wegovy (semaglutide),"Started on 0.25 mg. Had some side effects but not enough to stop taking it. Nausea, but not terrible, heartburn which was bad at times, pepto bismol sorted it out, (have some on hand). Curbed appetite, but noticed it starting to not be so effective when it was time to up the dose. I am now on 0.5 mg. The third week and I am on a new dose and there's a big change. I have heartburn most of the time, especially if I try to eat starchy carbs, (1 slice of bread). Nausea here and there, but since I took the third dose of .5 mg, I have absolutely zero appetite, I know I should eat, but 1 or 2 mouthfuls of food is enough for me. I lost 12 lbs in the first month and will weigh myself at the end of the second month. Conclusion: if you really can't stop eating, and your health is suffering, speak to your doctor about Wegovy. It's not a magic wand, but will definitely help you. Make sure you drink plenty of water throughout the day.",9.0,73,semaglutide,1
15,Respi...,Taken for less than 1 month,"February 9, 2022",Wegovy (semaglutide),This medication has been amazingly good. Wow It's only been 4 days but my thought process of always thinking about what I am going to have for my next meal. Always food shopping Always having cravings to eat Never feeling full. THAT'S ALL CHANGED!!!! I am eating half what I did. I am only eating when I am hungry and that is less frequent. This is not in my head I know there is a change. Thank you so much. Yes of coarse 4 days is not enough time. But I am hoping that the 12 hours of thinking about food stops. Each and everyone out there knows what I mean. We are constantly thinking about what we will have for our next meal. Food shopping Collecting recipes. Eating 2 or 3 portions of food Eating between meals. Having deserts etc. Next report will be after a couple of weeks,10.0,285,semaglutide,1
16,Tracey,Taken for 1 to 6 months,"September 20, 2021",Wegovy (semaglutide),I have been on Wegovy 2 months now and I'm down 17 lbs. I don’t exercise . Only thing I changed was stop drinking cokes and try eat a little better. I have found certain foods will make me nauseous. The medication pretty much tells me when I'm full if I try to push the amount I get sick to stomach. This medication works for me,10.0,317,semaglutide,1
17,Life...,Taken for 1 to 6 months,"May 10, 2023",Wegovy (semaglutide),"So far, after 4 months, this has helped boost weight loss. At 57, I’ve been battling with the slowest metabolism on earth! It didn’t matter what I ate, when, how, how much, nothing. I started an exercise program that I promised myself I would stick with for a minimum of 2 months and I did it like an adult. Meaning I did t work out for 3 hours my first time. After 4 months, I’ve lost 50 lbs, again, I added exercise prior to starting Wegovy because I had both knees replaced. I will have nothing else replaced due to being overweight. I, personally, have had NO side effects except I’m not hungry at all. But this allows me to make better choices. Best of luck to all!",10.0,38,semaglutide,1
18,Jersey...,Taken for 1 to 6 months,"May 10, 2023",Wegovy (semaglutide),"I am finishing my 8th week on Wegovy. I have lost 17.1 pounds and feel amazing. I was afraid to start because of the side effects, but so far have been lucky and haven't had them. The best thing about Wegovy is the fact that my mind is no longer full of obsessive thoughts about food. I have lost weight a million times, but this is the first time I am aware that I am NOT thinking about food all the time. I eat really reasonable portions of food and am satisfied. No desire for extra food or snacks. It is absolutely a miracle.",10.0,36,semaglutide,1
19,Sally,Taken for 1 to 2 years,"March 9, 2022",Wegovy (semaglutide),"Wegovy & Ozempic (both are Semaglutide, but Wegovy is a higher dose) have been LIFE-CHANGING. It has turned off the 24/7 hunger switch in my brain. I feel “normal” around food for the first time in my life. I started with Ozempic Jan 2021 and switched to Wegovy Oct 2021 (now at full 2.4 mg dose). To date, I’ve lost 87 lbs! I have 50 lbs more to lose. I’ve had virtually zero side effects, just minor upset tummy the 1st week. I feel full/satisfied with much less food, I no longer think of food constantly, I respond dramatically less to food cues (seeing or smelling food), and I no longer get overwhelmed at restaurants/holidays because of all of the delicious food options. I’m in control. The only bummer is the price. My Wegovy coupon is about to run out and my Ins doesn’t cover it",10.0,212,semaglutide,1
20,P-C,Taken for 6 months to 1 year,"March 25, 2023",Wegovy (semaglutide),"Wegovy has been the most positive life-changing medication I have ever used! I lost 85 pounds in 6 months. I was lucky to not have side effects, many of my coworkers are now having my positive experience with Wegovy as well. I feel like a role model. A friend said you should be a spokesperson for Wegovy.",10.0,59,semaglutide,1
21,Sks,Taken for less than 1 month,"May 25, 2023",Wegovy (semaglutide),"I never leave reviews and rarely have side effects from medication. However, after one injection on the lowest dose I am so beyond sick. Two days after my injection, I got a migraine followed by extreme vomiting for 4 days, chills, nausea, and a trip to the ER. This medication made me so unbelievably sick, it is like I've been poisoned. I have missed 4 days of work and am so weak. Living on Pedialyte and numerous nausea medications. Please be so careful. I was so hopeful and had no idea this would happen to me.",1.0,22,semaglutide,1
22,south...,Taken for 1 to 6 months,"March 23, 2023",Wegovy (semaglutide),"I am in my sixth week of Wegovy (4 weeks at .25 and now 2 at .5). I am a male in my early 50s, 5'9",9.0,55,semaglutide,1
23,Jackie,Taken for less than 1 month,"March 12, 2023",Wegovy (semaglutide),Worst medication ever. On the lowest dose I became deathly ill. I couldn't stop vomiting for a week. I could not walk because of extreme dizziness and I could barely see from blurry vision. It also gave me the worst migraine of my life and suicidal thoughts and depression. I only lost weight because I could not eat at all and couldn't keep liquids down so I was severely dehydrated. The side effects and long term effects are so severe that the minor weightloss you would have from this medication is not worth it.,1.0,59,semaglutide,1
24,Highly...,Taken for 1 to 6 months,"April 18, 2023",Wegovy (semaglutide),"I was worried about side effects with this medication but I have not had any. So far I have lost 16 lbs in two and a half months, with diet and exercise. I started with the .25 mg dose, and I am now on the 1 mg dose. I would recommend it to others that want to try it",10.0,41,semaglutide,1
25,poisonB,Taken for less than 1 month,"April 3, 2023",Wegovy (semaglutide),"Been on Wegovy for half a week. For my first injection, I used the upper right side of my stomach. Within an hour, I had a bit of shooting pain in my left mid-back section. I was a bit concerned but didn't say anything to anyone about it as I figured it was just my body getting used to a new chemical. I'm now on day 3, and no pain anywhere, no nausea, and feeling pretty great. I am a little concerned about not understanding exactly what my caloric intake",8.0,48,semaglutide,2
26,tallg...,Taken for 1 to 6 months,"December 16, 2021",Wegovy (semaglutide),"I have been on Wegovy since the end of July 2021... with difficulty finding the prescription, I have had to go a few weeks between refills so I am halfway through my fifth month. I am down 34 pounds since starting and haven't been hungry. It has been the solution to a lifetime of weight struggles! I did have hair loss start in the fourth month and have added a multivitamin to help. My hunger was so low, I asked my doctor to take me back to the month three dosage. Hoping both the vitamin and decreased dose will help with hair loss... so far it isn't noticeable to anyone but me (and my family seeing the hair on the floor/in the shower!). Even if I have had to go 1-2 weeks between doses due to backorder, I find I am still losing weight and my lack of hunger is the same. I occasionally eat",10.0,207,semaglutide,2
27,Mom...,Taken for 1 to 6 months,"December 29, 2021",Wegovy (semaglutide),Just took my last injection of month 5 1.7. I have lost about 25-30lbs along with 3-5 days a week at the gym. Definitely curbs your appetite. The nausea is very real! Each month I thought it would get easier. It’s never does. A couple times I puked for hours. Lots of belching. In the beginning a little constipation. The first day or 2 after the injection you can feel fatigue. It works for weight loss if you can tolerate the nausea. This will be my last month. I have a 6 month prescription but I can’t deal with the nausea anymore.,8.0,193,semaglutide,2
28,Mildred,Taken for 1 to 6 months,"December 9, 2021",Wegovy (semaglutide),"I started Wegovy the end of July 2021. I was up too the second dose amount. I stopped it on October 8, 2021 because I was seeing extreme hair loss. I had called and spoke to a Wegovy rep the month before about it and they said someone was going to call me, as this was not a side effect that they knew of. No one ever called. I did look on another site and it did show hair loss. Know that hair loss with this product is real. It has been a very depressing time for me as they way I look at myself has changed because of the loss of my hair. HAIR LOSS IS REAL WITH WEGOVY",,182,semaglutide,2
29,TBH,Taken for less than 1 month,"February 25, 2023",Wegovy (semaglutide),"Started 2/23/23. 0.25. 64 years old, H 5/6, W 217. Only side effect is dizziness when standing up and subsides with a minute or two. That seems to be hypoglycemia. As of today 2/26/23 it has definitely curbed my appetite. I will check back in a month to let you know my progress.",8.0,51,semaglutide,2
30,Serena...,Taken for 1 to 6 months,"March 1, 2022",Wegovy (semaglutide),"Seven weeks in and it’s great! I’ve lost 12 lbs already. I don’t have that many side effects to discuss, but you do have to be careful what you eat and how much you eat. If you try to eat too much food that is high in fat or high in sugar you will not feel well. You do have to listen to your stomach as you get full very quickly, if you push it you could become queasy. As long as I pay attention to this, I feel fine and have little side effects. I do inject it in my thigh as I have read that it reduces bad side effects. Perhaps that’s the key.",10.0,147,semaglutide,2
31,KClean,Taken for 1 to 6 months,"April 19, 2023",Ozempic (semaglutide),"I have been taking Ozempic since 12/22. I was put on this injectable drug due to obesity, high cholesterol, and borderline high blood pressure plus pre-diabetic. I have lost 30 lbs. so far. I am more than pleased that my cholesterol is now 180 from 270 on medication. I have never been below 200 total cholesterol in my life! I have had no symptoms taking Ozempic except little indigestion the first month. It is very convenient to use (inject once a week), and the needle is so thin (less than a hair) you don’t even feel it. I had tried every diet, exercise, and fasting to lose weight and get my cholesterol under control. Ozempic is the only thing that has worked.",10.0,30,semaglutide,2
32,Bmi,Taken for 1 to 6 months,"December 28, 2021",Wegovy (semaglutide),"I feel completely normal with regarded to appetite. I hardly think of food and never finish my plate. I definitely needed the zofran script - I found the first two days were the most difficult. Definitely losing weight, which makes it easier to do gentle stretching to prepare for more walking and stairs. Fear is alleviated….hope is restored…I have control therefore the ability to make healthier food choices and increase exercise. Not for everyone, definitely for me.",10.0,150,semaglutide,2
33,Anonymous,Taken for less than 1 month,"January 22, 2022",Wegovy (semaglutide),"Worst experience of my life. After the second 0.25 dose I was up all night vomiting and diarrhea. The next day had chest pain, shaking, brain fog, stomach pain, more diarrhea and had to go to the ER. After they gave me Benadryl and morphine I started to feel better. Still have burping, gas, and acid reflux terribly. WILL NEVER TRY THIS AGAIN! It is not worth it to me! Wish it would hurry up and get out of my system.",1.0,143,semaglutide,2
34,Bo Peep,Taken for 6 months to 1 year,"February 28, 2022",Wegovy (semaglutide),"I started with Ozempic (which is the same thing, I think) for assistance with diabetes. In the first year, I lost fifty pounds, I became more capable of moving better, and I started. In February and March of the second year, I was hospitalized twice for massive blood clots in my right thigh and the Wegovy was put aside for a couple of months. In April of 2021, my endocrinologist asked me if I would like to switch to this new version that might give me a boost. Sure, why not. I started with the lowest and immediately moved to the 2.4 doses. I have had no side effects no problems with the injection sites. The only issue has been obtaining the medicine. Oh, health changes. Within the first year of the Ozempic, my A1c went from 8.1 to 7.3, in the second year it has dropped to 6.1. My blood glucose averages are about 130, I can live with that! I have to be careful with going too low! Total weight loss is hovering between 95 and 100 lbs.",9.0,134,semaglutide,2
35,Lala...,Taken for 1 to 6 months,"June 10, 2023",Wegovy (semaglutide),"I started 3 weeks ago and every Monday I inject myself with a .25 mg dose. I started this medication because at age 47 even though I tried so hard to exercise and diet my weight was a roller coaster ride and I would bounce back to my heaviest weight. My weight when I started was 170 lbs which was 3 weeks ago. After a week I am down to 159 lbs, then second week 157 lbs, I weigh myself yesterday and I am down 155 lbs that's 15 lbs less. The first week I had a little heartburn, and the second week was a little dizzy because you can go a day without being hungry at all. End of the second week I had no side effects at all. I am surprised that again I can go a day without being hungry at all but of course, I force myself to eat something even with food I will eat but will be so full easily. I take protein shakes daily as my meal replacement. I'm taking fiber (gummies) so I can go to the bathroom with no problem and it helps a lot. Overall I am pretty happy with the result.",8.0,7,semaglutide,2
36,WagOn,Taken for less than 1 month,"April 5, 2023",Wegovy (semaglutide),"I took my first shot of .25 5 days ago. I was extremely nervous about taking it due to all of the negative side effects that I read others have had. I decided to inject in my upper thigh late on a Friday afternoon, so that if I did feel sick I had the weekend to take it easy and deal with it. The injection was painless and very easy to administer myself. I honestly noticed no side effects after taking it, other than not thinking about food as much and wanting to eat a little less. I did push the boundaries on the third evening after taking it and I did have bad nausea (I actually vomited) and felt generally ill for about 16 hours (not bad enough to not work though). I pushed the boundaries by over eating air fried chicken wings (no sauce) that were a bit more greasy/oily than normal. Those really set me off and I realized that I: 1. can no longer eat any type of greasy food and 2. cannot eat too much. As long as I stick to my normal healthy, low carb diet, I feel just fine (so far).",9.0,32,semaglutide,2
37,Anonymous,Taken for less than 1 month,"February 24, 2023",Ozempic (semaglutide),"Horrible experience. I only took 2 dosages because I had difficulty functioning with headaches, eye pain, nausea, dizziness and overall feeling awful. The additional issue is I’ve been off the drug for a week and can’t get rid of the symptoms. I’m nauseous every day, with headaches and dizziness. How long till all of this goes away?",1.0,43,semaglutide,2
38,Dotzer,Taken for less than 1 month,"April 5, 2023",Ozempic (semaglutide),"I'm a 38-year-old man with type 2 diabetes and overweight. I was on metformin for three years and followed a good diet and exercise regime, but I couldn't lose weight. Although my blood sugars were perfect on metformin, weight was my issue. My doctor prescribed me Ozempic 0.25 mg, and I was very worried about the side effects. However, I started it recently anyway and injected it in the upper thigh once weekly. I had no issues other than constipation, which I overcame with laxatives and increased water intake. My appetite was reduced by 90%. I used to overeat, but now I can only manage two small meals a day. It's really working so far, but it's still early days. I'm in Ireland, and it costs €150 a month for four injections, which are covered by my medical card. I'll provide an updated review in three months to report how it has helped me lose weight on the scales.",9.0,31,semaglutide,2
39,RNinNJ,Taken for 1 to 6 months,"May 4, 2022",Wegovy (semaglutide),"Wegovy does work, problem is...I feel like dirt all day long. I'm fatigued, nauseous and even the smell of food makes me vomit. My heart races, and I'm quite dizzy. I lost 55 lbs. Do I look good, yes. Do I feel good, no. I'm down to 153 lbs now. It's time to stop this medication.",6.0,107,semaglutide,2
40,Jedi,Taken for 1 to 6 months,"December 15, 2021",Wegovy (semaglutide),"Half way through the 1.7mg dose. Been on for about 4.5 months. Have lost total of 35 pounds. My weight loss has slowed down since on the 1.7 dose. Still losing but not as quickly as in the beginning. Have no real interest in food anymore. Sometimes have to eat when not hungry due to low blood sugar (had this prior to Wegovy use). Been trying to lose weight for months. Wegovy is the only thing to work for my obesity due to medical issues. Have noticed off and on fatigue, dizziness, constipation, stomach pain, gas, belching and hair loss. Can no longer eat fried, greasy food without feeling sick, which is good. Now I want healthy food instead.",9.0,126,semaglutide,2
41,find...,Taken for 1 to 6 months,"January 17, 2022",Wegovy (semaglutide),"Took it for 8 weeks, made it thru the 2nd titrated dose and couldn't handle it anymore. Nausea, gas, bloat, constipation, diarrhea and it was worse at night while lying down. Never improved, but actually got worse by week 8. Not sure how anyone makes it to the full dose. Also did not drop a single pound. There were days I only consumed 600 calories and still felt awful. I read another review very similar and agree that you absolutely cannot eat anything spicy. Bland food days were better but there are not enough antacids and constipation meds in the world to make me want to lose 20 pounds this badly. Took my last dose 10 days ago and am still dealing with residual GI upset. Hope physicians are more forthcoming about the side effects and do not tell patients they happen but subside in a couple days - they do not.",1.0,113,semaglutide,2
42,Amazing...,Taken for 1 to 6 months,"April 15, 2023",Ozempic (semaglutide),"I never had any weight issues until I turned 60. All the weight gain seemed to go right to my stomach. No matter what I did (including exercise and diet) nothing worked to diminish the belly fat. I started taking Ozempic at .25mg/week for 4 injections. I lost 15 pounds on that starter dosage. I increased to .5mg the following month and lost another 15 pounds. I will begin the 1mg dose this weekend for the next month. The Ozempic seemed to target that subcutaneous belly fat which is where I had the greatest weight loss. Except for a mild headache after the first dose and subsequent constipation, there were no other side effects. I took something to relieve constipation. My stomach is now almost as flat as a board and I don’t look pregnant. I know carrying all that excess subcutaneous fat is very dangerous and Ozempic melted that fat away. I would recommend keeping yourself very well hydrated and asking your doctor for a prescription to address the constipation. Truly amazing!",10.0,24,semaglutide,2
43,Anonymous,Taken for less than 1 month,"May 27, 2023",Ozempic (semaglutide),"I am just completed my first 2 weeks. I want to lose 35-40 pounds. In the past year, I have gained a pound a month and have been steadily gaining weight every year for the past 7 years. Have previously tried weight watchers, increased activity, and calorie watching, and the only time I lost any weight was on less than 1300 calories a day. The first week I lost 3.5 pounds, more weight than I had lost in the past 5 years even with calorie restricting. I inject in alternating thighs on Friday nights, just in case I have symptoms I can recover without work demands. I have always been gassy so cannot comment if there is a difference in the amount. I am noticing increased chest tenderness and muscle spasms. Restless legs are a thing! Taking magnesium once or twice a week also helps with moderate constipation. Reduced appetite, reduced sugar craving but no impact on munchies. Makes easier to choose healthier choices. Overall happy with almost 5-pound weight loss in 2 weeks. Minimal side effects and well worth it.",8.0,11,semaglutide,2
44,Slwis...,Taken for 1 to 6 months,"February 11, 2022",Wegovy (semaglutide),"I'm on my 13th week @ 1mg now. I love it. Yes I was nauseated at first, but the quick weight loss results made me want to continue. At this dosage, I am not really hungry for food, and if I do feel hungry, it doesn't take much food for me to feel satisfied. I have really cut my portions and also use high fiber, high protein foods, constipation is real people. Laxatives help. I make good food choices now and am down 25lbs. I want to keep going but the coupon has run out, and now my out of pocket cost with insurance is around $900. I am so disappointed to have to stop and worried about gaining back or not losing anymore. Novo really needs to make this affordable. The price is ridiculous and millions of people are dying from comorbidities to obesity every day. I have high end insurance, and still cannot afford the copays.",9.0,99,semaglutide,2
45,Anonymous,Taken for 1 to 6 months,"June 13, 2023",Wegovy (semaglutide),"I have taken Wegovy for a little more than 2 months and lost 18 pounds. It is outstanding for weight loss and appetite suppression. However, I had to stop taking it because I was experiencing low blood pressure and dizziness that ranged from mild (feeling similar to when you stand up too fast) to severe (feeling like I was going to fall over; needing to lean on furniture to prevent falling over). It is really annoying that it caused these dizzy spells because it worked great for weight loss.",9.0,4,semaglutide,2
46,jmm,,"September 27, 2022",Wegovy (semaglutide),"For me it is a miracle drug! I have had no side effects and have been on it since December of 2021. I was doing other medications, that helped a little, but I was stuck teetering between 190-195 could not pass that. As soon as I started Wegovy the weight started to come off. I am now right around 160 and I am close to my goal. I am also 60 which makes weight loss even more difficult. I highly recommend this treatment!",10.0,61,semaglutide,2
47,Kim,Taken for 1 to 6 months,"June 5, 2023",Wegovy (semaglutide),"I wish I had great news to share but I don't have any, yet. I'm in my 4th month of using Wegovy. I started my 1st month at the lowest dose and each month have bumped it up to the next one. I take my 3rd injection of the 1.7 mg dose tomorrow and unfortunately, I have not lost any weight yet. In fact, I think I may have gained about 7 lbs. I'm not entirely blaming the drug. It says right on the informational paper it is more effective with a healthy diet and exercise, which I have not been consistent with. The one thing that I have noticed, is it has helped me feel less hungry. I'm hoping once I get to full dosage and am consistent with eating healthy, I will then see weight loss results.",1.0,7,semaglutide,2
48,Sandy,Taken for 1 to 6 months,"May 19, 2023",Ozempic (semaglutide),My experience has been good on Ozempic . I haven’t been on it for six months and I have lost 50 pounds. I have side effects have been very mild . I was a little nauseous the first week my worst. Side effect is being constipated. It is now under control and the appetite. Suppressant has been fabulous. I do not pray for anything or over eat anymore. I am feeling wonderful lots of energy and sleeping well.,8.0,12,semaglutide,2
49,Tomcat,Taken for 6 months to 1 year,"April 13, 2023",Wegovy (semaglutide),"Started Wegovy in March 2022 with a goal of losing 50-75 pounds. I ended up losing a total of 85 pounds in about 11 months. I felt great upon taking the Wegovy. Only had mild headaches and mild stomach discomfort. I was not tired, actually felt energized. However, by December the nausea had reared its ugly head. I took Zofran and it helped. I was able to stick it out with the nausea until February at which time I stopped taking it. I could no longer live with the nausea. Since I stopped taking it, I have continued to suffer nausea, vomiting, and stomach pain. My doctor and I are still trying to find the source of this continuing issue. I love the weight loss and I love Wegovy!",,21,semaglutide,2
50,Nikki,Taken for 6 months to 1 year,"March 12, 2023",Wegovy (semaglutide),I have lost 65 lbs in 10 months using Wegovy. I have had no side effects. I do want to know what to do when you hit a plateau. I would and have recommended this medication to my family and friends. I’m on the highest dose of 2.4. Taking injections is quick and easy.,10.0,28,semaglutide,3
51,MRS,Taken for 1 to 6 months,"January 10, 2022",Wegovy (semaglutide),"I have been taking Wegovy since August 2021. I am down 45 pounds. I did low carb with this which has really helped me to lose the weight I have wanted to lose. The side effects are very real, extreme constipation and nausea for two days after injection. The doctor prescribed zofran for the nausea and I have taken stool softener for the constipation. All things said it really helped curb my appetite. But you have to diet with it.",9.0,97,semaglutide,3
